sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C H2 N3 O S    ,103.991303,442.91,715382,103.991309,0.006,0.06,1,2,0,3,0,1,1
C3 H2 N2 Na O  ,105.005864,560.06,725579,105.005933,0.069,0.657,3,2,0,2,1,1,0
C6 H6 N O      ,108.044445,-1000.0,737941,108.04439,-0.055,-0.507,6,6,0,1,0,1,0
C5 H3 O S      ,110.990003,-1000.0,799773,110.989912,-0.091,-0.82,5,3,0,0,0,1,1
C4 H8 Na O2    ,111.041576,553.93,734649,111.04165,0.074,0.668,4,8,0,0,1,2,0
C4 H2 N O S    ,111.985066,497.05,778408,111.985161,0.095,0.849,4,2,0,1,0,1,1
C5 H6 N O2     ,112.039339,731.59,774107,112.039305,-0.034,-0.306,5,6,0,1,0,2,0
C6 H10 N O     ,112.075792,-1000.0,696859,112.07569,-0.101,-0.903,6,10,0,1,0,1,0
C2 H4 K O S    ,114.961334,308.85,949574,114.961444,0.11,0.959,2,4,1,0,0,1,1
C7 H15 O       ,115.111698,578.83,706844,115.111742,0.043,0.377,7,15,0,0,0,1,0
C5 H2 K O      ,116.973801,459.61,843937,116.973723,-0.079,-0.672,5,2,1,0,0,1,0
C4 H3 K N O    ,119.984543,495.55,907789,119.984622,0.078,0.653,4,3,1,1,0,1,0
C4 H3 N Na O2  ,120.005629,558.3,811188,120.005599,-0.03,-0.249,4,3,0,1,1,2,0
C4 H2 Na O3    ,120.989514,553.93,694274,120.989615,0.1,0.828,4,2,0,0,1,3,0
C3 H2 N2 Na O2 ,121.000917,740.61,767925,121.000848,-0.069,-0.569,3,2,0,2,1,2,0
C4 H6 N2 Na O  ,121.037362,-1000.0,738869,121.037234,-0.128,-1.059,4,6,0,2,1,1,0
C4 H5 K N O    ,122.000359,554.33,712621,122.000272,-0.087,-0.715,4,5,1,1,0,1,0
C8 H11 O       ,123.080504,528.14,704216,123.080441,-0.063,-0.511,8,11,0,0,0,1,0
C5 H2 N O S    ,123.985289,664.9,751956,123.985161,-0.128,-1.032,5,2,0,1,0,1,1
C4 H7 N Na O2  ,124.03703,558.86,789100,124.036899,-0.131,-1.054,4,7,0,1,1,2,0
C4 H6 Na O S   ,125.00327,500.02,702698,125.003157,-0.113,-0.905,4,6,0,0,1,1,1
C2 H N Na O2 S ,125.961932,661.17,773969,125.96202,0.088,0.702,2,1,0,1,1,2,1
C3 H6 K O3     ,128.994987,643.59,764156,128.994852,-0.135,-1.044,3,6,1,0,0,3,0
C5 H2 N2 Na O  ,129.005886,549.58,750973,129.005933,0.047,0.365,5,2,0,2,1,1,0
C8 H17 O       ,129.127319,588.91,695218,129.127392,0.073,0.564,8,17,0,0,0,1,0
C3 H3 N2 O2 S  ,130.990959,602.99,718233,130.990975,0.016,0.12,3,3,0,2,0,2,1
C5 H2 Na O3    ,132.9897,583.06,704427,132.989615,-0.085,-0.642,5,2,0,0,1,3,0
C3 H5 N2 O2 S  ,133.006682,447.51,711796,133.006625,-0.057,-0.425,3,5,0,2,0,2,1
C7 H4 N O2     ,134.02359,-1000.0,729567,134.023655,0.065,0.484,7,4,0,1,0,2,0
C7 H3 O S      ,134.990045,-1000.0,703845,134.989912,-0.133,-0.984,7,3,0,0,0,1,1
C6 H3 N2 O2    ,135.01894,773.65,764518,135.018904,-0.037,-0.27,6,3,0,2,0,2,0
C3 H2 N2 Na O S,136.977926,557.95,772297,136.978005,0.079,0.574,3,2,0,2,1,1,1
C4 H2 Na O4    ,136.98447,-1000.0,739017,136.984529,0.059,0.431,4,2,0,0,1,4,0
C7 H5 O S      ,137.005706,645.66,698186,137.005562,-0.144,-1.05,7,5,0,0,0,1,1
C6 H5 N2 O2    ,137.034622,574.77,752628,137.034554,-0.068,-0.494,6,5,0,2,0,2,0
C3 H5 N3 Na O2 ,138.027363,563.13,693534,138.027397,0.034,0.245,3,5,0,3,1,2,0
C6 H3 O2 S     ,138.984948,648.06,702606,138.984827,-0.121,-0.87,6,3,0,0,0,2,1
C3 H3 K N O S  ,139.956539,503.56,706370,139.956693,0.153,1.096,3,3,1,1,0,1,1
C5 H2 N O2 S   ,139.980187,446.92,782532,139.980076,-0.111,-0.791,5,2,0,1,0,2,1
C6 H6 N O3     ,140.034347,-1000.0,710599,140.034219,-0.127,-0.909,6,6,0,1,0,3,0
C6 H2 N2 Na O  ,141.005855,-1000.0,744119,141.005933,0.079,0.559,6,2,0,2,1,1,0
C8 H6 Na O     ,141.031058,527.4,726072,141.031086,0.027,0.195,8,6,0,0,1,1,0
C4 H4 N3 O S   ,142.007102,398.93,824922,142.006959,-0.142,-1.003,4,4,0,3,0,1,1
C4 H3 N2 O2 S  ,142.990867,428.53,699294,142.990975,0.108,0.758,4,3,0,2,0,2,1
C9 H3 O2       ,143.01264,656.54,883207,143.012756,0.116,0.811,9,3,0,0,0,2,0
C8 H15 O2      ,143.106789,-1000.0,711182,143.106656,-0.133,-0.931,8,15,0,0,0,2,0
C4 H6 N3 O S   ,144.022542,349.73,873196,144.022609,0.068,0.47,4,6,0,3,0,1,1
C4 H4 N O3 S   ,145.990488,428.7,708855,145.990641,0.152,1.044,4,4,0,1,0,3,1
C6 H12 N O3    ,146.081082,-1000.0,764824,146.08117,0.088,0.602,6,12,0,1,0,3,0
C7 H8 K O      ,147.020765,479.13,692717,147.020673,-0.093,-0.63,7,8,1,0,0,1,0
C8 H7 N2 O     ,147.055177,753.58,695256,147.055289,0.112,0.765,8,7,0,2,0,1,0
C4 H6 N O3 S   ,148.006338,444.93,783795,148.006291,-0.048,-0.323,4,6,0,1,0,3,1
C9 H10 N O     ,148.075627,524.36,695634,148.07569,0.063,0.427,9,10,0,1,0,1,0
C5 H2 K O3     ,148.963527,-1000.0,697260,148.963552,0.024,0.164,5,2,1,0,0,3,0
C4 H5 O4 S     ,148.990398,558.58,808232,148.990306,-0.092,-0.615,4,5,0,0,0,4,1
C4 H2 N2 Na O3 ,148.99578,543.17,787095,148.995763,-0.017,-0.115,4,2,0,2,1,3,0
C8 H5 O3       ,149.023174,512.01,763930,149.02332,0.146,0.981,8,5,0,0,0,3,0
C5 H6 N2 Na O2 ,149.032077,546.48,713907,149.032148,0.071,0.478,5,6,0,2,1,2,0
C10 H13 O      ,149.095957,-1000.0,759859,149.096091,0.134,0.901,10,13,0,0,0,1,0
C5 H5 N Na O S ,149.998461,-1000.0,774529,149.998406,-0.055,-0.369,5,5,0,1,1,1,1
C9 H12 N O     ,150.091232,751.06,798615,150.09134,0.108,0.721,9,12,0,1,0,1,0
C8 H11 N2 O    ,151.08667,707.7,841618,151.086589,-0.08,-0.531,8,11,0,2,0,1,0
C4 H7 K N3 O   ,152.022057,-1000.0,845925,152.02207,0.013,0.083,4,7,1,3,0,1,0
C6 H4 N O2 S   ,153.995715,748.82,767062,153.995726,0.011,0.069,6,4,0,1,0,2,1
C4 H2 N3 O4    ,156.003977,447.19,751965,156.003982,0.005,0.03,4,2,0,3,0,4,0
C6 H3 N3 Na O  ,156.016724,518.53,728568,156.016832,0.108,0.693,6,3,0,3,1,1,0
C7 H10 N O3    ,156.065491,476.0,792062,156.06552,0.029,0.183,7,10,0,1,0,3,0
C5 H10 K O S   ,157.008238,376.12,742528,157.008394,0.156,0.996,5,10,1,0,0,1,1
C11 H9 O       ,157.064652,505.01,705485,157.064791,0.139,0.885,11,9,0,0,0,1,0
C8 H13 O S     ,157.068274,-1000.0,712969,157.068163,-0.112,-0.712,8,13,0,0,0,1,1
C4 H4 N3 O4    ,158.019591,689.81,717390,158.019632,0.041,0.258,4,4,0,3,0,4,0
C6 H7 O5       ,159.028875,557.69,711331,159.0288,-0.076,-0.475,6,7,0,0,0,5,0
C6 H3 N Na O S ,159.982847,443.09,744546,159.982756,-0.091,-0.571,6,3,0,1,1,1,1
C4 H6 N3 O4    ,160.035229,-1000.0,938298,160.035282,0.054,0.334,4,6,0,3,0,4,0
C5 H2 K N2 O2  ,160.974836,521.26,850994,160.974785,-0.05,-0.313,5,2,1,2,0,2,0
C5 H2 N2 Na O S,160.977949,-1000.0,725747,160.978005,0.056,0.345,5,2,0,2,1,1,1
C5 H5 O4 S     ,160.990254,447.71,706510,160.990306,0.052,0.324,5,5,0,0,0,4,1
C4 H5 N2 O3 S  ,161.001379,518.2,705846,161.00154,0.16,0.995,4,5,0,2,0,3,1
C8 H10 Na O2   ,161.057203,577.3,784318,161.0573,0.097,0.604,8,10,0,0,1,2,0
C7 H13 O4      ,161.080824,512.15,796418,161.080835,0.012,0.073,7,13,0,0,0,4,0
C5 H5 K N3 O   ,162.006478,-1000.0,732557,162.00642,-0.058,-0.357,5,5,1,3,0,1,0
C6 H12 N O4    ,162.075998,420.15,994200,162.076084,0.087,0.535,6,12,0,1,0,4,0
C7 H7 N4 O     ,163.061564,769.82,724272,163.061437,-0.126,-0.775,7,7,0,4,0,1,0
C8 H12 Na O2   ,163.072867,764.44,730241,163.07295,0.083,0.509,8,12,0,0,1,2,0
C5 H3 N Na O4  ,163.995337,-1000.0,752820,163.995428,0.092,0.558,5,3,0,1,1,4,0
C4 H2 K N2 O3  ,164.96957,573.91,706010,164.9697,0.129,0.784,4,2,1,2,0,3,0
C7 H5 N2 O S   ,165.011678,671.61,743270,165.01171,0.032,0.196,7,5,0,2,0,1,1
C8 H14 Na O2   ,165.088768,482.51,764883,165.0886,-0.167,-1.014,8,14,0,0,1,2,0
C5 H5 K N O3   ,165.990124,628.76,780810,165.990101,-0.023,-0.136,5,5,1,1,0,3,0
C6 H9 N Na O S ,166.029639,-1000.0,736118,166.029706,0.067,0.404,6,9,0,1,1,1,1
C8 H8 N O3     ,166.049844,524.25,716153,166.04987,0.025,0.153,8,8,0,1,0,3,0
C6 H13 N3 Na O ,166.095006,-1000.0,705409,166.095083,0.077,0.463,6,13,0,3,1,1,0
C8 H12 N3 O    ,166.097522,-1000.0,706690,166.097488,-0.034,-0.202,8,12,0,3,0,1,0
C6 H7 N4 O2    ,167.056532,-1000.0,1041863,167.056352,-0.18,-1.078,6,7,0,4,0,2,0
C3 H2 K N2 O2 S,168.946772,378.63,725278,168.946856,0.084,0.5,3,2,1,2,0,2,1
C4 H6 K N2 O3  ,169.000892,434.68,738058,169.001,0.108,0.641,4,6,1,2,0,3,0
C8 H4 Na O3    ,171.005161,577.48,725154,171.005265,0.104,0.607,8,4,0,0,1,3,0
C7 H7 O5       ,171.028877,745.2,736374,171.0288,-0.078,-0.454,7,7,0,0,0,5,0
C11 H7 O2      ,171.043884,489.49,772729,171.044056,0.172,1.004,11,7,0,0,0,2,0
C2 H3 K N3 O2 S,171.957875,-1000.0,761276,171.957755,-0.119,-0.694,2,3,1,3,0,2,1
C6 H6 N O5     ,172.024087,-1000.0,830509,172.024049,-0.038,-0.22,6,6,0,1,0,5,0
C7 H7 N3 Na O  ,172.048043,-1000.0,714445,172.048133,0.089,0.519,7,7,0,3,1,1,0
C7 H6 K N2 O   ,173.011239,573.46,781865,173.011171,-0.068,-0.394,7,6,1,2,0,1,0
C10 H5 O3      ,173.023215,507.48,759692,173.02332,0.105,0.608,10,5,0,0,0,3,0
C4 H5 N4 O4    ,173.030562,493.19,748942,173.030531,-0.031,-0.178,4,5,0,4,0,4,0
C6 H13 N4 O2   ,173.103251,527.19,803996,173.103302,0.051,0.295,6,13,0,4,0,2,0
C9 H17 O3      ,173.117375,-1000.0,723359,173.117221,-0.154,-0.888,9,17,0,0,0,3,0
C7 H5 N Na O3  ,174.016013,575.49,741874,174.016164,0.15,0.864,7,5,0,1,1,3,0
C7 H12 N O2 S  ,174.058347,416.81,805882,174.058326,-0.021,-0.121,7,12,0,1,0,2,1
C6 H12 N3 O S  ,174.069738,448.14,743676,174.06956,-0.178,-1.022,6,12,0,3,0,1,1
C9 H3 O2 S     ,174.984948,371.79,897045,174.984827,-0.121,-0.693,9,3,0,0,0,2,1
C8 H7 N4 O     ,175.061579,-1000.0,757870,175.061437,-0.142,-0.81,8,7,0,4,0,1,0
C11 H11 O2     ,175.075495,-1000.0,835623,175.075356,-0.139,-0.795,11,11,0,0,0,2,0
C7 H7 K N O2   ,176.010752,446.27,755592,176.010836,0.084,0.477,7,7,1,1,0,2,0
C8 H11 K N O   ,176.047279,545.19,794350,176.047222,-0.057,-0.322,8,11,1,1,0,1,0
C5 H2 N2 Na O2 S,176.973007,445.21,775654,176.972919,-0.088,-0.494,5,2,0,2,1,2,1
C9 H9 N2 O2    ,177.065968,660.13,764920,177.065854,-0.114,-0.646,9,9,0,2,0,2,0
C9 H14 K O     ,177.06768,531.91,927169,177.067623,-0.057,-0.321,9,14,1,0,0,1,0
C5 H8 N O4 S   ,178.016844,379.23,752940,178.016855,0.011,0.064,5,8,0,1,0,4,1
C5 H5 N3 Na O3 ,178.022132,-1000.0,846985,178.022312,0.179,1.008,5,5,0,3,1,3,0
C7 H4 N3 O3    ,178.024693,-1000.0,720046,178.024717,0.024,0.137,7,4,0,3,0,3,0
C6 H4 Na O3 S  ,178.977285,-1000.0,734969,178.977336,0.051,0.285,6,4,0,0,1,3,1
C7 H8 Na O4    ,179.031492,536.48,719494,179.031479,-0.012,-0.068,7,8,0,0,1,4,0
C5 H3 N Na O3 S,179.9727,445.75,750287,179.972585,-0.115,-0.642,5,3,0,1,1,3,1
C6 H2 N3 O4    ,180.003819,393.85,1005104,180.003982,0.163,0.905,6,2,0,3,0,4,0
C7 H11 N Na O3 ,180.063023,-1000.0,722915,180.063114,0.091,0.506,7,11,0,1,1,3,0
C8 H10 N3 O2   ,180.076755,717.61,740416,180.076753,-0.002,-0.011,8,10,0,3,0,2,0
C5 H2 Na O4 S  ,180.956591,409.77,818431,180.9566,0.009,0.051,5,2,0,0,1,4,1
C6 H10 N2 Na O S,181.040565,580.94,759590,181.040605,0.04,0.219,6,10,0,2,1,1,1
C8 H9 N2 O S   ,181.04287,545.7,746681,181.043011,0.141,0.777,8,9,0,2,0,1,1
C9 H18 Na O2   ,181.119742,-1000.0,848842,181.119901,0.158,0.873,9,18,0,0,1,2,0
C6 H9 K N O S  ,182.003656,-1000.0,750053,182.003643,-0.013,-0.073,6,9,1,1,0,1,1
C8 H17 K N O   ,182.094129,594.9,785057,182.094172,0.044,0.239,8,17,1,1,0,1,0
C4 H4 N2 Na O3 S,182.983356,-1000.0,740798,182.983484,0.128,0.699,4,4,0,2,1,3,1
C7 H3 O6       ,182.992572,-1000.0,720067,182.992414,-0.157,-0.86,7,3,0,0,0,6,0
C7 H7 N2 O2 S  ,183.022262,549.39,759497,183.022275,0.013,0.072,7,7,0,2,0,2,1
C3 H3 K N3 O2 S,183.957741,-1000.0,742211,183.957755,0.015,0.081,3,3,1,3,0,2,1
C10 H6 N3 O    ,184.050658,742.29,737197,184.050538,-0.12,-0.653,10,6,0,3,0,1,0
C9 H14 N O S   ,184.079058,375.78,781747,184.079062,0.003,0.019,9,14,0,1,0,1,1
C5 H6 K O3 S   ,184.966881,-1000.0,746094,184.966923,0.042,0.225,5,6,1,0,0,3,1
C8 H9 O5       ,185.044366,484.01,779918,185.04445,0.083,0.451,8,9,0,0,0,5,0
C5 H10 N2 Na O4,185.053158,497.15,723599,185.053278,0.12,0.647,5,10,0,2,1,4,0
C13 H13 O      ,185.09625,679.22,850502,185.096091,-0.159,-0.859,13,13,0,0,0,1,0
C6 H13 N Na O2 S,186.055997,384.48,733474,186.055921,-0.076,-0.41,6,13,0,1,1,2,1
C10 H20 N O2   ,186.14876,478.94,757303,186.148855,0.095,0.509,10,20,0,1,0,2,0
C7 H11 N2 O2 S ,187.053395,377.85,790105,187.053575,0.18,0.962,7,11,0,2,0,2,1
C8 H15 N2 O S  ,187.090054,517.02,796258,187.089961,-0.093,-0.497,8,15,0,2,0,1,1
C7 H10 N O3 S  ,188.03757,656.16,772117,188.037591,0.021,0.111,7,10,0,1,0,3,1
C8 H14 N O2 S  ,188.073973,-1000.0,726007,188.073976,0.003,0.017,8,14,0,1,0,2,1
C7 H14 N3 O3   ,188.102932,580.0,879693,188.102968,0.035,0.187,7,14,0,3,0,3,0
C10 H5 O4      ,189.018211,576.01,740565,189.018235,0.025,0.13,10,5,0,0,0,4,0
C5 H9 N4 O2 S  ,189.043872,392.84,777464,189.044073,0.201,1.066,5,9,0,4,0,2,1
C11 H5 N Na O  ,190.026307,-1000.0,754134,190.026334,0.027,0.144,11,5,0,1,1,1,0
C7 H4 K O4     ,190.974275,-1000.0,726959,190.974117,-0.158,-0.827,7,4,1,0,0,4,0
C6 H4 N2 Na O4 ,191.006252,-1000.0,763822,191.006327,0.075,0.392,6,4,0,2,1,4,0
C7 H11 N3 Na O2,192.07425,-1000.0,731310,192.074347,0.097,0.506,7,11,0,3,1,2,0
C11 H6 K O     ,193.005014,-1000.0,786831,193.005023,0.009,0.045,11,6,1,0,0,1,0
C7 H10 N2 Na O3,193.058275,-1000.0,797666,193.058363,0.088,0.458,7,10,0,2,1,3,0
C6 H13 N2 O5   ,193.081825,497.76,769430,193.081898,0.073,0.38,6,13,0,2,0,5,0
C5 H5 K N3 O S ,193.978307,448.92,787136,193.978491,0.184,0.946,5,5,1,3,0,1,1
C8 H12 K O S   ,195.024241,472.61,735868,195.024044,-0.197,-1.012,8,12,1,0,0,1,1
C12 H12 Na O   ,195.07794,464.28,825290,195.078036,0.096,0.492,12,12,0,0,1,1,0
C6 H6 K O3 S   ,196.967107,321.73,777563,196.966923,-0.184,-0.935,6,6,1,0,0,3,1
C6 H6 K O5     ,196.984704,498.18,822060,196.984681,-0.022,-0.114,6,6,1,0,0,5,0
C6 H10 N2 Na O2 S,197.035486,-1000.0,749931,197.035519,0.033,0.169,6,10,0,2,1,2,1
C8 H14 K O S   ,197.039634,356.07,747945,197.039694,0.06,0.307,8,14,1,0,0,1,1
C12 H14 Na O   ,197.093667,-1000.0,804166,197.093686,0.019,0.094,12,14,0,0,1,1,0
C5 H5 K N O5   ,197.979776,426.51,790554,197.97993,0.155,0.781,5,5,1,1,0,5,0
C9 H12 N O2 S  ,198.058155,-1000.0,770153,198.058326,0.171,0.864,9,12,0,1,0,2,1
C5 H4 K O4 S   ,198.946005,481.6,773959,198.946188,0.182,0.916,5,4,1,0,0,4,1
C9 H4 K O3     ,198.97908,408.24,747087,198.979202,0.122,0.614,9,4,1,0,0,3,0
C12 H7 O S     ,199.021138,431.17,799577,199.021212,0.074,0.373,12,7,0,0,0,1,1
C7 H11 N4 O S  ,199.064946,-1000.0,758046,199.064809,-0.137,-0.688,7,11,0,4,0,1,1
C8 H11 N2 O4   ,199.071156,-1000.0,778598,199.071333,0.177,0.891,8,11,0,2,0,4,0
C9 H6 K O S    ,200.977232,355.04,731972,200.977094,-0.138,-0.689,9,6,1,0,0,1,1
C4 H5 K N O4 S ,201.956959,345.35,833241,201.957087,0.128,0.633,4,5,1,1,0,4,1
C7 H3 K N O4   ,203.969218,564.23,800311,203.969365,0.147,0.722,7,3,1,1,0,4,0
C4 H5 N4 O4 S  ,205.002739,-1000.0,768192,205.002602,-0.137,-0.667,4,5,0,4,0,4,1
C7 H6 N2 Na O2 S,205.004264,409.24,780900,205.004219,-0.045,-0.219,7,6,0,2,1,2,1
C6 H13 N4 O2 S ,205.075433,408.57,730998,205.075373,-0.06,-0.29,6,13,0,4,0,2,1
C11 H18 Na O2  ,205.120038,659.07,885596,205.119901,-0.138,-0.672,11,18,0,0,1,2,0
C9 H8 N3 O S   ,206.038213,-1000.0,910917,206.038259,0.046,0.224,9,8,0,3,0,1,1
C6 H12 N3 O5   ,206.077034,495.09,734799,206.077147,0.113,0.55,6,12,0,3,0,5,0
C8 H16 N O5    ,206.102174,503.22,783310,206.102299,0.125,0.608,8,16,0,1,0,5,0
C11 H8 N2 Na O ,207.052729,-1000.0,804168,207.052884,0.154,0.745,11,8,0,2,1,1,0
C8 H12 N2 Na O S,207.056449,-1000.0,734393,207.056255,-0.194,-0.937,8,12,0,2,1,1,1
C12 H19 N2 O   ,207.149062,498.75,779647,207.14919,0.128,0.618,12,19,0,2,0,1,0
C9 H10 N3 O3   ,208.071666,664.65,748108,208.071668,0.001,0.007,9,10,0,3,0,3,0
C9 H19 N3 Na O ,208.141901,522.38,751710,208.142033,0.132,0.633,9,19,0,3,1,1,0
C6 H6 N2 Na O3 S,208.998973,391.0,756561,208.999134,0.161,0.772,6,6,0,2,1,3,1
C8 H14 N2 Na O S,209.072103,-1000.0,851627,209.071905,-0.198,-0.949,8,14,0,2,1,1,1
C9 H18 N2 Na O2,209.126046,456.32,808025,209.126049,0.002,0.011,9,18,0,2,1,2,0
C11 H17 N2 O2  ,209.128327,496.63,752474,209.128454,0.127,0.607,11,17,0,2,0,2,0
C9 H17 N Na O3 ,210.110206,-1000.0,865196,210.110064,-0.141,-0.673,9,17,0,1,1,3,0
C11 H16 N O3   ,210.112551,446.39,737386,210.11247,-0.081,-0.387,11,16,0,1,0,3,0
C10 H4 K O S   ,210.961485,354.54,751151,210.961444,-0.041,-0.196,10,4,1,0,0,1,1
C10 H4 K O3    ,210.979363,424.34,771459,210.979202,-0.162,-0.766,10,4,1,0,0,3,0
C7 H3 N2 O6    ,210.998665,474.53,794248,210.998562,-0.103,-0.487,7,3,0,2,0,6,0
C9 H4 N2 Na O3 ,211.01127,-1000.0,743051,211.011413,0.143,0.677,9,4,0,2,1,3,0
C6 H8 K N2 O4  ,211.011763,418.71,741708,211.011565,-0.198,-0.938,6,8,1,2,0,4,0
C11 H12 N2 Na O,211.084177,-1000.0,733518,211.084184,0.006,0.03,11,12,0,2,1,1,0
C8 H16 N2 Na O3,211.105182,-1000.0,738148,211.105313,0.131,0.622,8,16,0,2,1,3,0
C6 H7 K N O5   ,211.995803,425.09,757119,211.99558,-0.223,-1.05,6,7,1,1,0,5,0
C11 H11 N Na O2,212.068356,-1000.0,915543,212.068199,-0.157,-0.741,11,11,0,1,1,2,0
C7 H15 N3 Na O3,212.10045,-1000.0,823705,212.100562,0.112,0.53,7,15,0,3,1,3,0
C5 H2 K O5 S   ,212.925444,456.87,819749,212.925452,0.008,0.036,5,2,1,0,0,5,1
C10 H13 O3 S   ,213.058105,364.67,748679,213.057992,-0.113,-0.53,10,13,0,0,0,3,1
C13 H25 O2     ,213.184718,-1000.0,741735,213.184906,0.188,0.882,13,25,0,0,0,2,0
C12 H12 N3 O   ,214.097545,-1000.0,748937,214.097488,-0.057,-0.266,12,12,0,3,0,1,0
C6 H3 N2 O5 S  ,214.975491,362.74,791651,214.975719,0.228,1.062,6,3,0,2,0,5,1
C8 H7 O5 S     ,215.000837,-1000.0,859960,215.000871,0.033,0.156,8,7,0,0,0,5,1
C9 H11 O4 S    ,215.037047,-1000.0,769650,215.037256,0.21,0.975,9,11,0,0,0,4,1
C9 H7 K N O S  ,215.987906,336.01,771248,215.987993,0.087,0.404,9,7,1,1,0,1,1
C9 H7 N Na O2 S,216.008961,620.31,764981,216.00897,0.009,0.042,9,7,0,1,1,2,1
C8 H14 N3 O4   ,216.097719,421.47,815481,216.097882,0.163,0.756,8,14,0,3,0,4,0
C6 H10 Na O5 S ,217.014249,671.71,775472,217.014115,-0.134,-0.615,6,10,0,0,1,5,1
C9 H10 N2 Na O3,217.058309,453.02,733500,217.058363,0.054,0.248,9,10,0,2,1,3,0
C15 H21 O      ,217.158748,579.23,785536,217.158692,-0.056,-0.259,15,21,0,0,0,1,0
C9 H4 N3 O4    ,218.019542,-1000.0,839225,218.019632,0.09,0.414,9,4,0,3,0,4,0
C9 H13 K N3 O  ,218.069237,447.7,735585,218.06902,-0.217,-0.995,9,13,1,3,0,1,0
C14 H20 N O    ,218.15407,570.06,788342,218.153941,-0.129,-0.592,14,20,0,1,0,1,0
C11 H7 O3 S    ,219.011084,775.13,733987,219.011042,-0.042,-0.192,11,7,0,0,0,3,1
C9 H7 N4 O S   ,219.033711,-1000.0,776784,219.033508,-0.202,-0.923,9,7,0,4,0,1,1
C9 H12 N2 Na O S,219.056135,411.61,737878,219.056255,0.12,0.549,9,12,0,2,1,1,1
C8 H15 N2 O5   ,219.097611,-1000.0,771403,219.097548,-0.063,-0.286,8,15,0,2,0,5,0
C13 H19 N2 O   ,219.14931,501.02,739160,219.14919,-0.12,-0.549,13,19,0,2,0,1,0
C10 H6 N O3 S  ,220.006429,486.92,781873,220.006291,-0.138,-0.627,10,6,0,1,0,3,1
C12 H7 K N O   ,220.016064,603.86,804403,220.015922,-0.142,-0.645,12,7,1,1,0,1,0
C13 H18 N O2   ,220.133397,-1000.0,788832,220.133205,-0.191,-0.87,13,18,0,1,0,2,0
C11 H6 K N2 O  ,221.01127,565.43,752403,221.011171,-0.099,-0.447,11,6,1,2,0,1,0
C9 H14 N2 Na O S,221.071712,-1000.0,769314,221.071905,0.193,0.875,9,14,0,2,1,1,1
C11 H13 N2 O S ,221.074157,493.76,764488,221.074311,0.154,0.696,11,13,0,2,0,1,1
C11 H12 N O4   ,222.075929,441.95,738622,222.076084,0.155,0.698,11,12,0,1,0,4,0
C7 H4 Na O5 S  ,222.967141,445.07,750105,222.967165,0.024,0.106,7,4,0,0,1,5,1
C6 H4 K N2 O5  ,222.975208,407.55,792603,222.975179,-0.029,-0.13,6,4,1,2,0,5,0
C10 H7 O6      ,223.023531,-1000.0,787714,223.023714,0.183,0.82,10,7,0,0,0,6,0
C15 H11 O2     ,223.075383,462.71,794676,223.075356,-0.027,-0.12,15,11,0,0,0,2,0
C11 H15 N2 O S ,223.089976,-1000.0,757303,223.089961,-0.015,-0.067,11,15,0,2,0,1,1
C9 H16 N2 Na O3,223.105268,631.11,888891,223.105313,0.045,0.202,9,16,0,2,1,3,0
C14 H23 O2     ,223.169169,-1000.0,745294,223.169256,0.088,0.393,14,23,0,0,0,2,0
C10 H19 N Na O S,224.108153,396.49,850736,224.107956,-0.197,-0.88,10,19,0,1,1,1,1
C12 H18 N O S  ,224.110162,408.97,772620,224.110362,0.2,0.891,12,18,0,1,0,1,1
C10 H19 N Na O3,224.12575,-1000.0,739637,224.125714,-0.036,-0.159,10,19,0,1,1,3,0
C14 H26 N O    ,224.200777,-1000.0,750928,224.200891,0.114,0.509,14,26,0,1,0,1,0
C5 H2 N2 Na O5 S,224.957484,-1000.0,751616,224.957663,0.179,0.796,5,2,0,2,1,5,1
C6 H13 N2 O5 S ,225.053736,408.08,746276,225.053969,0.233,1.037,6,13,0,2,0,5,1
C9 H13 N4 O3   ,225.098229,-1000.0,750333,225.098217,-0.013,-0.056,9,13,0,4,0,3,0
C11 H17 N2 O S ,225.105723,382.95,786687,225.105611,-0.112,-0.5,11,17,0,2,0,1,1
C11 H4 N3 O S  ,226.007116,411.34,761873,226.006959,-0.156,-0.692,11,4,0,3,0,1,1
C6 H9 N3 Na O5 ,226.043547,-1000.0,792090,226.043441,-0.106,-0.468,6,9,0,3,1,5,0
C14 H28 N O    ,226.216776,-1000.0,768581,226.216541,-0.235,-1.037,14,28,0,1,0,1,0
C11 H8 Na O2 S ,227.013818,-1000.0,835060,227.013721,-0.097,-0.428,11,8,0,0,1,2,1
C7 H12 K N2 O2 S,227.025205,329.46,785398,227.025107,-0.098,-0.432,7,12,1,2,0,2,1
C12 H12 Na O S ,227.049946,448.28,741589,227.050107,0.16,0.706,12,12,0,0,1,1,1
C9 H15 N4 O3   ,227.113831,-1000.0,762146,227.113867,0.036,0.157,9,15,0,4,0,3,0
C8 H3 K N3 O S ,227.962936,295.41,904691,227.962841,-0.095,-0.418,8,3,1,3,0,1,1
C8 H3 N3 Na O2 S,227.98403,559.49,747512,227.983818,-0.212,-0.929,8,3,0,3,1,2,1
C13 H10 N O3   ,228.065507,429.73,847304,228.06552,0.013,0.055,13,10,0,1,0,3,0
C6 H6 Na O6 S  ,228.977938,-1000.0,908523,228.97773,-0.208,-0.909,6,6,0,0,1,6,1
