sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C42 H69 N2 O5 S,713.491403,316.33,1069390,713.492171,0.768,1.076,42,69,0,2,0,5,1
C46 H69 N2 O2 S,713.507817,427.85,1055058,713.507427,-0.39,-0.547,46,69,0,2,0,2,1
C43 H73 N2 O4 S,713.528423,336.71,1370858,713.528556,0.133,0.187,43,73,0,2,0,4,1
C51 H69 O2     ,713.528536,316.29,1808727,713.529208,0.672,0.942,51,69,0,0,0,2,0
C47 H73 N2 O S ,713.543622,461.01,2198254,713.543813,0.191,0.267,47,73,0,2,0,1,1
C44 H77 N2 O3 S,713.564791,410.6,1399539,713.564942,0.151,0.211,44,77,0,2,0,3,1
C42 H81 O8     ,713.592445,-1000.0,1083530,713.592596,0.151,0.212,42,81,0,0,0,8,0
C45 H81 N2 O2 S,713.600998,296.03,1196796,713.601327,0.329,0.461,45,81,0,2,0,2,1
C48 H76 N O S  ,714.564249,462.67,1148906,714.564214,-0.036,-0.05,48,76,0,1,0,1,1
C45 H77 K N3 O ,714.569205,469.66,1270356,714.569822,0.617,0.864,45,77,1,3,0,1,0
C41 H84 N3 O6  ,714.635393,313.85,1712740,714.635464,0.071,0.099,41,84,0,3,0,6,0
C50 H28 Na O4  ,715.187587,-1000.0,1027436,715.18798,0.394,0.55,50,28,0,0,1,4,0
C46 H59 N4 O S ,715.440937,-1000.0,1074371,715.44041,-0.527,-0.737,46,59,0,4,0,1,1
C42 H71 N2 O5 S,715.507494,381.71,1499959,715.507821,0.327,0.457,42,71,0,2,0,5,1
C50 H67 O3     ,715.507818,473.82,1482964,715.508472,0.655,0.915,50,67,0,0,0,3,0
C44 H72 N2 Na O4,715.539063,495.93,1067839,715.53843,-0.633,-0.885,44,72,0,2,1,4,0
C49 H72 Na O2  ,715.542554,664.53,1029534,715.542452,-0.101,-0.142,49,72,0,0,1,2,0
C51 H71 O2     ,715.544492,396.74,2704192,715.544858,0.366,0.511,51,71,0,0,0,2,0
C47 H75 N2 O S ,715.55947,325.68,1217348,715.559463,-0.008,-0.011,47,75,0,2,0,1,1
C43 H84 N2 Na O4,715.632898,374.7,1092851,715.63233,-0.568,-0.794,43,84,0,2,1,4,0
C44 H83 N4 O3  ,715.645958,-1000.0,1525165,715.645969,0.011,0.016,44,83,0,4,0,3,0
C47 H84 N2 Na O,715.64775,192.13,1121113,715.647586,-0.164,-0.229,47,84,0,2,1,1,0
C32 H11 N3 Na O14 S,715.985348,-1000.0,1109931,715.985394,0.046,0.064,32,11,0,3,1,14,1
C27 H14 N3 O19 S,715.993172,-1000.0,1162718,715.993673,0.501,0.7,27,14,0,3,0,19,1
C42 H74 N3 O6  ,716.557503,562.96,1306072,716.557214,-0.29,-0.405,42,74,0,3,0,6,0
C45 H75 N Na O4,716.558876,486.58,1664054,716.558831,-0.046,-0.064,45,75,0,1,1,4,0
C47 H74 N O4   ,716.561256,66.14,93632048,716.561236,-0.02,-0.028,47,74,0,1,0,4,0
C39 H83 K N O5 S,716.563114,272.51,9940441,716.562354,-0.76,-1.06,39,83,1,1,0,5,1
C39 H83 N Na O6 S,716.584026,431.64,1242591,716.583331,-0.695,-0.969,39,83,0,1,1,6,1
C41 H86 N3 O6  ,716.651061,-1000.0,1143884,716.651114,0.053,0.074,41,86,0,3,0,6,0
C47 H90 N O3   ,716.691359,357.87,1177081,716.691522,0.163,0.228,47,90,0,1,0,3,0
C47 H66 Na O2 S,717.468071,146.18,1554096,717.467573,-0.498,-0.694,47,66,0,0,1,2,1
C49 H65 O2 S   ,717.470495,86.16,4871857,717.469979,-0.516,-0.719,49,65,0,0,0,2,1
C53 H65 O      ,717.502487,479.88,1263299,717.502993,0.506,0.705,53,65,0,0,0,1,0
C50 H69 O3     ,717.523813,-1000.0,2053408,717.524123,0.309,0.431,50,69,0,0,0,3,0
C46 H73 N2 O2 S,717.539055,385.17,1318604,717.538727,-0.328,-0.457,46,73,0,2,0,2,1
C44 H77 O7     ,717.565996,456.08,2320082,717.566381,0.385,0.537,44,77,0,0,0,7,0
C42 H77 N4 O3 S,717.570832,323.84,1733931,717.57109,0.258,0.36,42,77,0,4,0,3,1
C50 H73 N2 O   ,717.572386,450.13,2758335,717.571741,-0.644,-0.898,50,73,0,2,0,1,0
C45 H78 N2 Na O S,717.572905,105.86,9252564,717.572707,-0.198,-0.276,45,78,0,2,1,1,1
C47 H77 N2 O3  ,717.592581,513.29,1074905,717.592871,0.289,0.403,47,77,0,2,0,3,0
C46 H76 N3 O S ,718.569993,445.36,1263133,718.570362,0.369,0.513,46,76,0,3,0,1,1
C47 H76 N O4   ,718.577424,66.63,3331919,718.576886,-0.537,-0.748,47,76,0,1,0,4,0
C44 H80 N O4 S ,718.579767,334.3,1247055,718.580258,0.49,0.682,44,80,0,1,0,4,1
C42 H85 N3 Na O4,718.643188,489.79,1050590,718.643229,0.041,0.057,42,85,0,3,1,4,0
C48 H63 O5     ,719.466993,381.18,1276075,719.467002,0.009,0.012,48,63,0,0,0,5,0
C52 H63 O2     ,719.482104,454.34,1330937,719.482258,0.153,0.213,52,63,0,0,0,2,0
C49 H67 O4     ,719.50365,438.05,1478398,719.503387,-0.263,-0.366,49,67,0,0,0,4,0
C46 H75 N2 O2 S,719.55406,418.43,1179201,719.554377,0.318,0.441,46,75,0,2,0,2,1
C46 H80 K O S  ,719.555666,431.51,1661121,719.556146,0.48,0.667,46,80,1,0,0,1,1
C48 H79 O2 S   ,719.579787,457.56,1261329,719.579529,-0.257,-0.358,48,79,0,0,0,2,1
C50 H80 Na O   ,719.609841,548.95,1114904,719.610138,0.297,0.413,50,80,0,0,1,1,0
C44 H87 N4 O3  ,719.6777,316.7,1900767,719.677269,-0.431,-0.598,44,87,0,4,0,3,0
C47 H88 N2 Na O,719.678163,392.27,1746728,719.678886,0.723,1.005,47,88,0,2,1,1,0
C50 H19 N Na O2 S,720.103615,-1000.0,967210,720.102871,-0.744,-1.034,50,19,0,1,1,2,1
