Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,sum formula,C,H,K,N,Na,O,S
400.968721,-1000.0,3524971,400.968622,-0.099,-0.247,C14 H6 N2 Na O9 S,14,6,0,2,1,9,1
401.201756,490.98,838027,401.201738,-0.018,-0.044,C16 H33 O11    ,16,33,0,0,0,11,0
401.266573,636.54,1028500,401.26623,-0.343,-0.855,C23 H38 Na O4  ,23,38,0,0,1,4,0
402.150864,393.27,905741,402.150706,-0.158,-0.394,C16 H24 N3 O9  ,16,24,0,3,0,9,0
402.259523,523.12,857628,402.259862,0.339,0.844,C19 H36 N3 O6  ,19,36,0,3,0,6,0
403.027175,-1000.0,856708,403.026821,-0.354,-0.88,C26 H8 K N2 O  ,26,8,1,2,0,1,0
403.275009,453.84,837286,403.275356,0.347,0.86,C22 H40 N2 Na O S,22,40,0,2,1,1,1
403.391143,331.76,1374902,403.391037,-0.106,-0.263,C26 H52 Na O   ,26,52,0,0,1,1,0
404.234391,456.39,977705,404.234219,-0.172,-0.424,C20 H35 N3 Na O2 S,20,35,0,3,1,2,1
404.236713,426.31,1489706,404.236625,-0.088,-0.217,C22 H34 N3 O2 S,22,34,0,3,0,2,1
405.217855,394.84,1237936,405.218235,0.38,0.938,C20 H34 N2 Na O3 S,20,34,0,2,1,3,1
405.218432,393.13,1366960,405.218235,-0.197,-0.485,C20 H34 N2 Na O3 S,20,34,0,2,1,3,1
406.21827,-1000.0,847929,406.218391,0.121,0.299,C17 H32 N3 O8  ,17,32,0,3,0,8,0
407.082995,-1000.0,892079,407.083273,0.278,0.684,C28 H16 K O    ,28,16,1,0,0,1,0
407.159238,435.74,877753,407.159497,0.259,0.636,C15 H27 N4 O7 S,15,27,0,4,0,7,1
407.203703,515.49,1008831,407.203928,0.225,0.553,C26 H31 O2 S   ,26,31,0,0,0,2,1
407.240324,348.22,926916,407.240313,-0.01,-0.025,C27 H35 O S    ,27,35,0,0,0,1,1
408.050836,354.47,870707,408.051229,0.393,0.963,C19 H15 N Na O6 S,19,15,0,1,1,6,1
408.208315,496.53,1018185,408.208005,-0.31,-0.761,C22 H31 N3 Na O S,22,31,0,3,1,1,1
408.308165,543.1,927063,408.30843,0.264,0.647,C22 H43 N Na O4,22,43,0,1,1,4,0
408.310567,317.81,1034071,408.310835,0.268,0.657,C24 H42 N O4   ,24,42,0,1,0,4,0
408.358009,-1000.0,866653,408.358454,0.445,1.091,C24 H46 N3 O2  ,24,46,0,3,0,2,0
409.160979,-1000.0,1024459,409.160542,-0.436,-1.066,C19 H25 N2 O8  ,19,25,0,2,0,8,0
409.173761,-1000.0,1089997,409.173393,-0.368,-0.899,C21 H26 N2 Na O5,21,26,0,2,1,5,0
409.2078,510.16,998866,409.208161,0.362,0.884,C19 H29 N4 O6  ,19,29,0,4,0,6,0
409.212756,460.25,871890,409.213149,0.394,0.962,C19 H34 N2 Na O4 S,19,34,0,2,1,4,1
409.266869,387.12,1016282,409.267293,0.424,1.036,C20 H38 N2 Na O5,20,38,0,2,1,5,0
409.267442,293.18,1392090,409.267293,-0.149,-0.363,C20 H38 N2 Na O5,20,38,0,2,1,5,0
410.062451,-1000.0,883271,410.062856,0.405,0.988,C14 H17 N3 Na O8 S,14,17,0,3,1,8,1
410.071846,-1000.0,872520,410.071787,-0.059,-0.143,C17 H16 N O11  ,17,16,0,1,0,11,0
410.140904,232.94,1351249,410.140535,-0.369,-0.899,C14 H24 N3 O11 ,14,24,0,3,0,11,0
410.341623,535.75,892013,410.341741,0.118,0.288,C28 H44 N O    ,28,44,0,1,0,1,0
411.097665,580.49,1126100,411.097548,-0.117,-0.284,C24 H15 N2 O5  ,24,15,0,2,0,5,0
411.144363,466.16,913115,411.144795,0.432,1.05,C18 H28 Na O7 S,18,28,0,0,1,7,1
412.094011,103.77,6451037,412.094414,0.403,0.979,C26 H15 N Na O3,26,15,0,1,1,3,0
412.097938,429.97,1783645,412.097785,-0.153,-0.37,C23 H19 N Na O3 S,23,19,0,1,1,3,1
412.173617,329.33,1095528,412.17321,-0.407,-0.987,C18 H31 K N O7 ,18,31,1,1,0,7,0
412.321892,419.49,840572,412.321972,0.08,0.193,C22 H47 N Na O2 S,22,47,0,1,1,2,1
413.091315,101.32,4382693,413.091417,0.102,0.248,C19 H17 N4 O5 S,19,17,0,4,0,5,1
413.149359,217.36,1589229,413.149584,0.224,0.543,C25 H21 N2 O4  ,25,21,0,2,0,4,0
413.151686,410.37,938989,413.151353,-0.334,-0.808,C25 H26 K O3   ,25,26,1,0,0,3,0
413.212527,397.74,1038326,413.212087,-0.44,-1.066,C23 H34 Na O3 S,23,34,0,0,1,3,1
413.256488,597.19,1044476,413.256334,-0.154,-0.372,C26 H34 N2 Na O,26,34,0,2,1,1,0
413.266729,19.29,363606016,413.266382,-0.347,-0.839,C21 H42 K O5   ,21,42,1,0,0,5,0
413.32182,423.14,1134597,413.321395,-0.425,-1.028,C23 H50 K O S  ,23,50,1,0,0,1,1
414.036453,457.32,908903,414.036642,0.188,0.455,C16 H13 N3 Na O7 S,16,13,0,3,1,7,1
414.090911,-1000.0,980078,414.09134,0.429,1.037,C31 H12 N O    ,31,12,0,1,0,1,0
414.152834,284.24,1202294,414.152475,-0.359,-0.868,C17 H29 K N O8 ,17,29,1,1,0,8,0
414.184321,304.32,946299,414.184589,0.268,0.647,C22 H28 N3 O3 S,22,28,0,3,0,3,1
414.276468,574.94,1265799,414.276736,0.267,0.645,C27 H37 N Na O ,27,37,0,1,1,1,0
414.332873,-1000.0,905359,414.332633,-0.239,-0.577,C22 H44 N3 O4  ,22,44,0,3,0,4,0
415.144414,544.94,875262,415.144104,-0.31,-0.747,C28 H19 N2 O2  ,28,19,0,2,0,2,0
415.202339,359.6,1765638,415.202585,0.246,0.592,C21 H32 N2 Na O3 S,21,32,0,2,1,3,1
415.281966,685.71,1046289,415.28188,-0.086,-0.206,C24 H40 Na O4  ,24,40,0,0,1,4,0
416.025741,394.12,921975,416.025441,-0.3,-0.721,C23 H11 K N3 O S,23,11,1,3,0,1,1
416.042795,498.71,1751417,416.043199,0.404,0.972,C23 H11 K N3 O3,23,11,1,3,0,3,0
416.046636,107.84,10580345,416.046418,-0.218,-0.524,C23 H11 N3 Na O2 S,23,11,0,3,1,2,1
416.051099,308.7,2208122,416.051326,0.227,0.546,C21 H10 N3 O7  ,21,10,0,3,0,7,0
416.2516,521.83,1464725,416.251977,0.378,0.907,C21 H35 N3 Na O4,21,35,0,3,1,4,0
416.276922,618.22,1048985,416.277129,0.207,0.498,C23 H39 N Na O4,23,39,0,1,1,4,0
416.295502,160.65,6320540,416.295757,0.255,0.613,C24 H43 N Na O S,24,43,0,1,1,1,1
417.039155,272.16,10695169,417.039364,0.21,0.503,C26 H9 O6      ,26,9,0,0,0,6,0
417.040691,151.49,3957249,417.04033,-0.361,-0.865,C21 H14 Na O6 S,21,14,0,0,1,6,1
417.041531,20.64,32125442,417.041215,-0.316,-0.757,C14 H13 N2 O13 ,14,13,0,2,0,13,0
417.044787,290.66,1239554,417.045238,0.451,1.081,C19 H13 O11    ,19,13,0,0,0,11,0
417.144638,82.17,1835536,417.144498,-0.14,-0.336,C24 H21 N2 O5  ,24,21,0,2,0,5,0
417.225051,323.27,1174043,417.224663,-0.388,-0.929,C28 H33 O S    ,28,33,0,0,0,1,1
417.407041,513.04,1083955,417.406687,-0.354,-0.848,C27 H54 Na O   ,27,54,0,0,1,1,0
418.041528,356.64,1292938,418.041091,-0.437,-1.045,C23 H13 K N3 O S,23,13,1,3,0,1,1
418.043628,595.64,885386,418.043441,-0.187,-0.447,C22 H9 N3 Na O5,22,9,0,3,1,5,0
418.046561,437.82,973451,418.046812,0.251,0.601,C19 H13 N3 Na O5 S,19,13,0,3,1,5,1
418.049429,277.97,1059467,418.049218,-0.211,-0.505,C21 H12 N3 O5 S,21,12,0,3,0,5,1
418.210114,551.43,979617,418.210113,-0.002,-0.004,C23 H29 N3 Na O3,23,29,0,3,1,3,0
418.249117,323.64,2265766,418.248904,-0.213,-0.51,C26 H32 N3 O2  ,26,32,0,3,0,2,0
418.285136,601.76,881323,418.285289,0.153,0.366,C27 H36 N3 O   ,27,36,0,3,0,1,0
418.286403,260.0,3351212,418.286255,-0.148,-0.354,C22 H41 N3 Na O S,22,41,0,3,1,1,1
418.401902,673.92,971451,418.401936,0.034,0.081,C26 H53 N Na O ,26,53,0,1,1,1,0
419.034852,255.47,961298,419.034851,-0.001,-0.003,C24 H12 Na O4 S,24,12,0,0,1,4,1
419.036258,329.19,910098,419.036701,0.443,1.058,C12 H16 N2 Na O11 S,12,16,0,2,1,11,1
419.037332,49.61,5788434,419.037256,-0.076,-0.181,C26 H11 O4 S   ,26,11,0,0,0,4,1
419.20452,384.68,838441,419.204176,-0.344,-0.821,C18 H36 K O8   ,18,36,1,0,0,8,0
420.288914,430.92,1188797,420.289054,0.14,0.334,C20 H42 N3 O4 S,20,42,0,3,0,4,1
421.08644,-1000.0,1210410,421.086886,0.446,1.059,C25 H18 Na O3 S,25,18,0,0,1,3,1
421.165304,401.29,901684,421.165531,0.227,0.538,C20 H30 Na O6 S,20,30,0,0,1,6,1
421.233152,616.43,1049662,421.233313,0.161,0.382,C22 H33 N2 O6  ,22,33,0,2,0,6,0
421.243,301.91,1489983,421.243209,0.209,0.497,C20 H37 O9     ,20,37,0,0,0,9,0
421.254482,549.8,1123392,421.254443,-0.039,-0.093,C19 H37 N2 O8  ,19,37,0,2,0,8,0
421.290911,383.11,1070149,421.290828,-0.083,-0.198,C20 H41 N2 O7  ,20,41,0,2,0,7,0
421.301875,416.82,861255,421.302061,0.187,0.443,C19 H41 N4 O6  ,19,41,0,4,0,6,0
421.365412,406.52,848464,421.365216,-0.196,-0.465,C25 H50 Na O3  ,25,50,0,0,1,3,0
421.98808,-1000.0,949412,421.988387,0.307,0.727,C22 H9 K N O4 S,22,9,1,1,0,4,1
423.228566,461.23,1012045,423.2288,0.234,0.552,C20 H36 N2 Na O4 S,20,36,0,2,1,4,1
423.234818,499.16,892238,423.235228,0.41,0.968,C27 H35 O2 S   ,27,35,0,0,0,2,1
423.28757,485.12,991573,423.287118,-0.452,-1.067,C23 H44 K O4   ,23,44,1,0,0,4,0
424.321103,513.79,1326562,424.321006,-0.097,-0.23,C28 H42 N O2   ,28,42,0,1,0,2,0
424.321849,116.48,5871074,424.321972,0.123,0.29,C23 H47 N Na O2 S,23,47,0,1,1,2,1
425.08424,-1000.0,899658,425.084207,-0.034,-0.079,C26 H17 O4 S   ,26,17,0,0,0,4,1
425.135436,272.1,1326673,425.135293,-0.143,-0.336,C17 H26 N2 Na O7 S,17,26,0,2,1,7,1
425.155448,539.52,963155,425.155457,0.009,0.021,C19 H25 N2 O9  ,19,25,0,2,0,9,0
425.204991,559.02,925274,425.204693,-0.298,-0.701,C22 H30 N2 Na O5,22,30,0,2,1,5,0
425.206746,555.48,982618,425.207098,0.352,0.828,C24 H29 N2 O5  ,24,29,0,2,0,5,0
425.208521,540.32,6436443,425.208716,0.194,0.457,C27 H30 Na O3  ,27,30,0,0,1,3,0
425.218555,548.67,11138652,425.218332,-0.223,-0.525,C23 H29 N4 O4  ,23,29,0,4,0,4,0
425.221788,462.97,1795676,425.221703,-0.084,-0.199,C20 H33 N4 O4 S,20,33,0,4,0,4,1
425.289608,565.93,865893,425.289765,0.158,0.37,C24 H41 O6     ,24,41,0,0,0,6,0
425.374173,-1000.0,971377,425.37377,-0.403,-0.947,C25 H49 N2 O3  ,25,49,0,2,0,3,0
426.113378,365.31,868053,426.113435,0.057,0.134,C24 H21 N Na O3 S,24,21,0,1,1,3,1
426.218682,49.18,34617060,426.218569,-0.113,-0.265,C22 H33 N3 Na O2 S,22,33,0,3,1,2,1
426.242007,407.11,1545959,426.242104,0.097,0.227,C21 H36 N3 O4 S,21,36,0,3,0,4,1
426.260165,-1000.0,846569,426.259862,-0.303,-0.711,C21 H36 N3 O6  ,21,36,0,3,0,6,0
426.291479,455.48,993005,426.291492,0.013,0.03,C21 H45 K N3 O S,21,45,1,3,0,1,1
426.300542,354.46,1103599,426.300271,-0.271,-0.636,C27 H40 N O3   ,27,40,0,1,0,3,0
426.301316,390.07,1486575,426.301236,-0.08,-0.187,C22 H45 N Na O3 S,22,45,0,1,1,3,1
426.321207,460.55,876273,426.3214,0.193,0.452,C24 H44 N O5   ,24,44,0,1,0,5,0
427.10708,-1000.0,923484,427.107067,-0.013,-0.031,C20 H19 N4 O5 S,20,19,0,4,0,5,1
427.134388,-1000.0,1049440,427.133988,-0.4,-0.936,C22 H28 K O4 S ,22,28,1,0,0,4,1
427.167318,298.54,1040228,427.166851,-0.467,-1.094,C29 H24 Na O2  ,29,24,0,0,1,2,0
427.205156,331.43,2717545,427.20499,-0.166,-0.388,C24 H31 N2 O3 S,24,31,0,2,0,3,1
427.218089,434.45,891755,427.217993,-0.096,-0.225,C23 H36 K N2 O S,23,36,1,2,0,1,1
427.35259,423.22,850813,427.353034,0.444,1.039,C24 H47 N2 O4  ,24,47,0,2,0,4,0
427.389556,-1000.0,874370,427.38942,-0.137,-0.319,C25 H51 N2 O3  ,25,51,0,2,0,3,0
429.071071,-1000.0,873574,429.070994,-0.076,-0.178,C27 H18 K O S  ,27,18,1,0,0,1,1
429.223538,-1000.0,879738,429.223142,-0.395,-0.921,C20 H33 N2 O8  ,20,33,0,2,0,8,0
429.224949,465.99,888955,429.224663,-0.286,-0.666,C29 H33 O S    ,29,33,0,0,0,1,1
429.318627,303.34,2736263,429.318564,-0.063,-0.147,C28 H45 O S    ,28,45,0,0,0,1,1
429.971511,300.13,849119,429.971087,-0.424,-0.985,C14 H8 N O13 S ,14,8,0,1,0,13,1
430.015415,-1000.0,1249509,430.015335,-0.08,-0.187,C17 H8 N3 O11  ,17,8,0,3,0,11,0
430.016315,-1000.0,1069286,430.0163,-0.015,-0.036,C12 H13 N3 Na O11 S,12,13,0,3,1,11,1
430.981326,-1000.0,919912,430.981592,0.266,0.618,C17 H7 N2 O10 S,17,7,0,2,0,10,1
431.166213,-1000.0,1048961,431.166021,-0.191,-0.443,C18 H27 N2 O10 ,18,27,0,2,0,10,0
431.217792,191.56,2242952,431.217663,-0.128,-0.298,C23 H31 N2 O6  ,23,31,0,2,0,6,0
431.280629,160.37,4192656,431.280538,-0.09,-0.209,C27 H35 N4 O   ,27,35,0,4,0,1,0
432.241181,389.49,855569,432.241171,-0.01,-0.023,C25 H35 K N3 O ,25,35,1,3,0,1,0
433.208043,-1000.0,893587,433.208161,0.118,0.273,C21 H29 N4 O6  ,21,29,0,4,0,6,0
433.226794,478.31,845462,433.226789,-0.005,-0.012,C22 H33 N4 O3 S,22,33,0,4,0,3,1
434.287292,-1000.0,1186596,434.287694,0.402,0.926,C23 H41 N Na O5,23,41,0,1,1,5,0
434.304479,445.22,1385255,434.304705,0.226,0.519,C21 H44 N3 O4 S,21,44,0,3,0,4,1
434.311249,340.14,1151783,434.311229,-0.02,-0.046,C22 H44 N O7   ,22,44,0,1,0,7,0
435.197352,592.21,861086,435.197322,-0.031,-0.071,C18 H31 N2 O10 ,18,31,0,2,0,10,0
435.271312,-1000.0,2919336,435.271613,0.301,0.692,C29 H39 O S    ,29,39,0,0,0,1,1
435.314993,513.57,1185710,435.31521,0.217,0.498,C24 H43 N4 O S ,24,43,0,4,0,1,1
436.228723,538.7,1584168,436.228956,0.233,0.533,C18 H34 N3 O9  ,18,34,0,3,0,9,0
436.358377,445.66,907321,436.358357,-0.02,-0.045,C25 H51 N Na O S,25,51,0,1,1,1,1
436.376514,507.68,867388,436.376115,-0.399,-0.914,C25 H51 N Na O3,25,51,0,1,1,3,0
437.162914,-1000.0,892069,437.162434,-0.48,-1.098,C29 H22 N2 Na O,29,22,0,2,1,1,0
437.16796,343.9,923813,437.168211,0.251,0.574,C28 H25 N2 O S ,28,25,0,2,0,1,1
437.214934,424.26,1039532,437.214493,-0.441,-1.009,C27 H33 O3 S   ,27,33,0,0,0,3,1
437.236591,89.75,12631215,437.236959,0.368,0.842,C25 H33 N4 O S ,25,33,0,4,0,1,1
437.296554,363.56,857271,437.296243,-0.311,-0.712,C23 H46 K N2 O S,23,46,1,2,0,1,1
437.375588,337.27,1549505,437.375387,-0.201,-0.46,C29 H50 Na O   ,29,50,0,0,1,1,0
437.377654,386.95,927937,437.377793,0.139,0.317,C31 H49 O      ,31,49,0,0,0,1,0
438.0332,51.04,12696857,438.03327,0.07,0.16,C21 H9 N3 Na O7,21,9,0,3,1,7,0
438.17875,-1000.0,911660,438.178812,0.062,0.142,C25 H25 N3 Na O3,25,25,0,3,1,3,0
438.197127,398.57,1017135,438.197592,0.465,1.061,C23 H33 K N3 O S,23,33,1,3,0,1,1
438.197917,390.74,1453359,438.197592,-0.326,-0.743,C23 H33 K N3 O S,23,33,1,3,0,1,1
438.239808,156.89,2841908,438.239699,-0.11,-0.25,C20 H37 N3 Na O4 S,20,37,0,3,1,4,1
439.126198,-1000.0,953258,439.126442,0.244,0.556,C24 H20 N2 Na O5,24,20,0,2,1,5,0
439.128696,-1000.0,846251,439.128848,0.152,0.345,C26 H19 N2 O5  ,26,19,0,2,0,5,0
439.151026,-1000.0,2016686,439.150943,-0.083,-0.19,C18 H28 N2 Na O7 S,18,28,0,2,1,7,1
439.202881,780.98,874932,439.203236,0.355,0.809,C31 H28 Na O   ,31,28,0,0,1,1,0
439.228672,303.31,1310136,439.228622,-0.05,-0.114,C18 H35 N2 O10 ,18,35,0,2,0,10,0
440.031394,126.52,4554275,440.031162,-0.232,-0.527,C21 H11 N3 Na O5 S,21,11,0,3,1,5,1
440.032284,522.45,892450,440.031966,-0.318,-0.723,C26 H11 K N O4 ,26,11,1,1,0,4,0
440.371089,415.15,980559,440.37103,-0.059,-0.134,C24 H51 N Na O4,24,51,0,1,1,4,0
441.232937,757.16,876225,441.233038,0.101,0.23,C19 H37 O11    ,19,37,0,0,0,11,0
441.265048,457.62,1004230,441.264888,-0.16,-0.363,C28 H33 N4 O   ,28,33,0,4,0,1,0
441.297539,533.28,1324234,441.297531,-0.008,-0.018,C26 H42 Na O4  ,26,42,0,0,1,4,0
441.325878,436.7,1118926,441.325774,-0.104,-0.235,C23 H45 N4 O2 S,23,45,0,4,0,2,1
442.120211,-1000.0,945975,442.120235,0.024,0.055,C31 H17 N Na O ,31,17,0,1,1,1,0
442.125539,274.73,2199351,442.126012,0.473,1.07,C30 H20 N O S  ,30,20,0,1,0,1,1
442.213702,281.4,1900355,442.214135,0.434,0.98,C30 H29 N Na O ,30,29,0,1,1,1,0
443.035181,-1000.0,876463,443.034851,-0.331,-0.746,C26 H12 Na O4 S,26,12,0,0,1,4,1
443.233607,93.83,202129360,443.233885,0.278,0.627,C23 H36 N2 Na O3 S,23,36,0,2,1,3,1
443.237273,498.91,6930378,443.236942,-0.331,-0.747,C33 H31 O      ,33,31,0,0,0,1,0
443.243749,587.54,1077195,443.244153,0.403,0.91,C27 H31 N4 O2  ,27,31,0,4,0,2,0
444.94729,-1000.0,889514,444.947218,-0.073,-0.163,C16 H6 Na O12 S,16,6,0,0,1,12,1
445.172948,449.86,952520,445.173393,0.444,0.998,C24 H26 N2 Na O5,24,26,0,2,1,5,0
445.308044,546.95,870106,445.307701,-0.342,-0.769,C29 H42 Na O2  ,29,42,0,0,1,2,0
445.342161,441.39,904414,445.34247,0.309,0.694,C27 H45 N2 O3  ,27,45,0,2,0,3,0
446.050487,335.18,876859,446.050657,0.171,0.382,C23 H12 N O9   ,23,12,0,1,0,9,0
446.120959,-1000.0,889156,446.120926,-0.032,-0.072,C29 H20 N O2 S ,29,20,0,1,0,2,1
446.197768,424.39,878926,446.197317,-0.451,-1.01,C19 H37 K N O6 S,19,37,1,1,0,6,1
446.211211,550.57,895312,446.211456,0.245,0.548,C31 H28 N O2   ,31,28,0,1,0,2,0
446.285905,609.85,888666,446.286077,0.172,0.385,C21 H40 N3 O7  ,21,40,0,3,0,7,0
446.317895,410.1,1287518,446.317555,-0.34,-0.762,C24 H45 N3 Na O S,24,45,0,3,1,1,1
447.050353,-1000.0,908733,447.049929,-0.424,-0.948,C27 H11 O7     ,27,11,0,0,0,7,0
447.187367,504.08,1044943,447.187426,0.058,0.13,C21 H27 N4 O7  ,21,27,0,4,0,7,0
447.21972,-1000.0,1415636,447.219972,0.252,0.563,C25 H35 O5 S   ,25,35,0,0,0,5,1
448.014571,454.35,891451,448.014666,0.095,0.211,C18 H10 N O13  ,18,10,0,1,0,13,0
448.069063,-1000.0,884290,448.069262,0.199,0.444,C27 H11 N3 Na O3,27,11,0,3,1,3,0
448.208015,-1000.0,3105364,448.207827,-0.188,-0.42,C22 H30 N3 O7  ,22,30,0,3,0,7,0
449.187048,-1000.0,977619,449.186935,-0.113,-0.251,C24 H30 N2 Na O3 S,24,30,0,2,1,3,1
449.195328,-1000.0,2638549,449.195214,-0.114,-0.254,C19 H33 N2 O8 S,19,33,0,2,0,8,1
449.298927,-1000.0,879330,449.298593,-0.334,-0.744,C23 H42 N2 Na O5,23,42,0,2,1,5,0
450.238636,430.61,888668,450.238733,0.097,0.216,C26 H32 N3 O4  ,26,32,0,3,0,4,0
450.244431,-1000.0,1065821,450.244606,0.175,0.388,C19 H36 N3 O9  ,19,36,0,3,0,9,0
451.014515,-1000.0,931776,451.014784,0.269,0.596,C26 H8 N2 Na O3 S,26,8,0,2,1,3,1
451.117789,-1000.0,967630,451.117615,-0.174,-0.386,C28 H19 O6     ,28,19,0,0,0,6,0
452.094431,333.15,861260,452.09455,0.119,0.263,C13 H23 N3 Na O11 S,13,23,0,3,1,11,1
452.104259,-1000.0,1164365,452.104585,0.326,0.721,C32 H15 N Na O ,32,15,0,1,1,1,0
